content,subcategory,category
"I was looking for a loan to buy a new motorcycle. I found a website that offered 'two-wheeler loans' with attractive rates. I applied for 35,000 rupees. They called and said my loan was sanctioned, but I needed to pay a 'vehicle insurance fee' of 1000 rupees upfront. They said it was mandatory for loan approval.  I paid through online transfer.  After payment, they stopped responding to my calls and emails.  The website also became unreachable.  I lost 1000 rupees and still don't have a motorcycle.",online_loan_fraud,Financial Crimes
"I was trying to consolidate my debts and searched online for 'debt consolidation loans'. I found a website that promised to help.  I applied for 40,000 rupees. They called and said I was approved but needed to pay a 'legal documentation fee' of 1200 rupees before they could proceed. They said it was for preparing the loan agreement.  I paid through a bank transfer.  After payment, they asked for another 1800 rupees for 'stamp duty'. I refused to pay more and asked for a refund of the legal documentation fee. They became threatening and disconnected.  I lost 1200 rupees and realized I had fallen into a debt trap scam.",online_loan_fraud,Financial Crimes
"I saw an advertisement on YouTube for a 'loan mela' offering instant loans.  I was curious and clicked on the link.  It led to a website where I could apply for a loan.  I applied for 10,000 rupees.  I got a message saying my loan was approved, but I needed to pay a 'registration fee' of 450 rupees to confirm my application.  I paid through a payment gateway.  After payment, I received no loan and no further communication.  The website is now showing 'under maintenance'. I lost 450 rupees and my faith in online ads.",online_loan_fraud,Financial Crimes
"I was looking for a personal loan on Google. I found a listing for a 'reputed finance company'. I called the number listed.  The person who answered was very polite and explained their loan process.  He said I could get a loan of 28,000 rupees.  He mentioned a 'pre-loan approval charge' of 800 rupees. He said it was refundable if the loan wasn't disbursed.  I paid through UPI.  After payment, he started asking for more documents and then stopped taking my calls.  I tried the number again, and it was switched off. I lost 800 rupees and learned not to trust phone numbers from online listings blindly.",online_loan_fraud,Financial Crimes
"I received an SMS saying 'Congratulations! You are pre-approved for a loan.'  I was surprised but also intrigued. I clicked the link in the message. It took me to a loan application page.  I filled it out and applied for 15,000 rupees.  I got a call saying my loan was approved, but I needed to pay a 'security deposit' of 500 rupees. They said it was to ensure I was a serious borrower and would be refunded with the loan amount.  I paid via online wallet. After payment, they asked for another 700 rupees for 'disbursement charges'.  I refused and realized it was a scam. I lost 500 rupees and my personal data.",online_loan_fraud,Financial Crimes
"I was searching for 'emergency loans' online when I found a website that claimed to offer loans within 30 minutes.  I applied for 6,000 rupees.  They called and said my loan was approved, but I needed to pay a 'processing and verification fee' of 280 rupees.  They said it was a small amount and necessary to get the loan quickly.  I paid through UPI. After payment, they asked for my bank account details again, which I found suspicious.  I refused and asked for a refund. They became rude and disconnected the call.  I lost 280 rupees and realized speed and urgency are red flags.",online_loan_fraud,Financial Crimes
"A colleague at work mentioned a 'loan agent' who could get loans approved easily.  I contacted the agent through WhatsApp. He seemed very helpful and said he could get me a loan of 30,000 rupees.  He asked for a 'commission' of 10% upfront, which was 3000 rupees.  He said it was for his services and to ensure loan approval. I paid through bank transfer, trusting my colleague's recommendation.  After payment, he kept delaying the loan disbursement and eventually stopped responding. My colleague also told me he was scammed by the same agent for a smaller amount previously.  We both lost money and trust in each other.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay off my credit card bills. I found a website that offered 'low-interest balance transfer loans'.  I applied for 25,000 rupees.  They called and said my loan was approved, but I needed to pay a 'credit score improvement fee' of 700 rupees.  They claimed my score was slightly low and this fee would improve it and ensure loan disbursement.  I paid through a payment link they sent.  After payment, they asked for another 1100 rupees for 'loan processing charges'. I refused and demanded a refund of the credit score improvement fee. They threatened to report me to credit bureaus and disconnected.  I lost 700 rupees and my hope for debt relief.",online_loan_fraud,Financial Crimes
"I was browsing through classified ads online and saw an ad for 'instant cash loans'.  I needed some quick money for unexpected expenses. I called the number in the ad.  The person who answered said they offered loans up to 50,000 rupees. He asked for my income details and then said I was eligible for 12,000 rupees. He requested a 'pre-disbursement charge' of 400 rupees to be paid to initiate the transfer.  I paid through online wallet. After payment, he asked for my bank OTP. I refused to share OTP and realized it was a phishing scam. I immediately changed my bank password but lost 400 rupees.",online_loan_fraud,Financial Crimes
"I received an email from a company claiming to be a 'government-backed loan provider'. It looked somewhat official with government logos.  They were offering 'COVID relief loans'.  I applied for 20,000 rupees.  They called and said my loan was approved under the scheme, but I needed to pay a 'government processing fee' of 600 rupees. They said it was mandatory and would be refunded by the government later.  I paid through net banking, believing it was a government initiative.  After payment, they asked for more documents and then became unresponsive.  I checked with government websites, and there was no such loan scheme. I lost 600 rupees and my trust in online government offers.",online_loan_fraud,Financial Crimes
"I was searching for 'student loans' for my brother's education. I found a website that offered 'scholarship-linked loans'.  I applied for 30,000 rupees.  They called and said my brother was eligible for a loan with a scholarship, but I needed to pay a 'scholarship registration fee' of 900 rupees.  They said it was necessary to register for the scholarship and get the loan disbursed.  I paid through online transfer.  After payment, they asked for my brother's educational certificates and then stopped responding.  I contacted the scholarship organization they mentioned, and they said they had no tie-up with that loan company. I lost 900 rupees and my brother's education is still uncertain.",online_loan_fraud,Financial Crimes
"I was looking for a loan to start a small online business. I found a website that advertised 'business loans for startups'. I applied for 15,000 rupees.  They called and said my business loan was approved, but I needed to pay a 'business registration fee' of 500 rupees.  They said it was to register my business with their platform and get the loan. I paid through UPI.  After payment, they asked for my business plan and then became unreachable.  The website is now showing 'error'. I lost 500 rupees and my startup dream is delayed.",online_loan_fraud,Financial Crimes
"I was trying to get a loan for home renovation. I saw a social media post about a 'home improvement loan' with easy terms.  I clicked the link and applied for 40,000 rupees. They called and said my loan was approved, but I needed to pay a 'site inspection fee' of 1100 rupees. They said it was mandatory to assess my home before disbursing the loan. I paid through online wallet.  After payment, they scheduled a 'site visit' but no one ever came.  They stopped answering my calls.  I lost 1100 rupees and my home renovation is on hold.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy a new laptop for online classes for my children. I found a website offering 'education loans'. I applied for 8,000 rupees.  They called and said my loan was approved, but I needed to pay a 'laptop insurance fee' of 350 rupees.  They said it was mandatory to insure the laptop they would provide as part of the loan. I paid through a payment link.  After payment, they asked for my address to 'deliver' the laptop and loan amount.  Then they stopped responding.  I realized there was no laptop, just a loan scam. I lost 350 rupees and my children are still struggling with online classes.",online_loan_fraud,Financial Crimes
"I was searching for 'personal loans' on an online classifieds website. I saw an ad offering 'quick loans' with minimal documentation. I contacted the advertiser through the website.  They responded quickly and said they could offer me a loan of 10,000 rupees.  They asked for a 'brokerage fee' of 300 rupees upfront. They said it was for connecting me with lenders.  I paid through UPI.  After payment, they gave me a list of lenders and asked me to contact them directly.  None of the lenders offered loans, and the advertiser stopped responding. I lost 300 rupees and realized it was just a lead generation scam disguised as a loan.",online_loan_fraud,Financial Crimes
"I received a promotional SMS from a 'finance company' offering 'festival loans'.  It was Diwali time, and I needed some extra cash.  I clicked the link in the SMS and applied for 20,000 rupees.  They called and said my loan was approved, but I needed to pay a 'festival offer activation fee' of 600 rupees. They said it was a special offer for the festival season.  I paid through online transfer, thinking it was a limited-time offer.  After payment, they asked for more documents and then became unresponsive.  The SMS sender is now blocked. I lost 600 rupees and my festive mood is ruined.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my electricity bill, which was very high. I searched online for 'urgent cash loans'.  I found a website that promised 'same-day loan disbursement'. I applied for 5,000 rupees.  They called and said my loan was approved, but I needed to pay an 'urgent processing fee' of 200 rupees. They said it was for fast-tracking my loan application.  I paid through UPI.  After payment, they asked for my Aadhaar card details and then stopped responding.  I lost 200 rupees, and my electricity is still at risk of being cut off.",online_loan_fraud,Financial Crimes
"I was searching for 'small business loans' for my grocery store. I found a website that offered 'micro-loans for businesses'.  I applied for 25,000 rupees.  They called and said my loan was approved, but I needed to pay a 'business verification fee' of 800 rupees. They said it was to verify my business and creditworthiness.  I paid through online wallet.  After payment, they asked for my store address and then became unreachable.  The website is now showing 'not found'. I lost 800 rupees and my business expansion plans are stalled.",online_loan_fraud,Financial Crimes
"I was looking for a loan to repair my car after an accident. I found a website offering 'vehicle repair loans'.  I applied for 35,000 rupees.  They called and said my loan was approved, but I needed to pay a 'vehicle valuation fee' of 1000 rupees. They said it was to assess the damage to my car and determine the loan amount.  I paid through bank transfer.  After payment, they scheduled a 'valuation appointment' but no one showed up.  They stopped answering my calls.  I lost 1000 rupees and my car is still damaged.",online_loan_fraud,Financial Crimes
"I was searching for 'medical loans' for my mother's surgery. I found a website that advertised 'emergency medical loans'. I applied for 50,000 rupees. They called and said my loan was approved, but I needed to pay a 'medical insurance fee' of 1500 rupees. They said it was mandatory to get medical insurance for loan approval.  I paid through a payment link. After payment, they asked for my mother's medical reports and then became unresponsive.  I contacted the insurance company they mentioned, and they said they had no record of such a policy. I lost 1500 rupees and my mother's surgery is delayed due to lack of funds.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy furniture for my new house. I found a website offering 'home furnishing loans'. I applied for 15,000 rupees. They called and said my loan was approved, but I needed to pay a 'furniture delivery fee' of 500 rupees. They said it was for delivering the furniture that would come with the loan. I paid through UPI. After payment, they asked for my home address and then stopped responding.  I realized there was no furniture, just a loan scam. I lost 500 rupees and my house is still empty.",online_loan_fraud,Financial Crimes
"I was searching for 'travel loans' to go on a family vacation. I found a website offering 'holiday loans'. I applied for 20,000 rupees. They called and said my loan was approved, but I needed to pay a 'travel insurance fee' of 700 rupees. They said it was mandatory to get travel insurance for loan approval.  I paid through online wallet. After payment, they asked for my travel dates and destination and then became unreachable.  I contacted the insurance company, and they had no record of such a policy.  I lost 700 rupees, and my family vacation is cancelled.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my credit card dues. I found a website offering 'credit card debt relief loans'. I applied for 30,000 rupees. They called and said my loan was approved, but I needed to pay a 'debt settlement fee' of 900 rupees. They said it was to negotiate with my credit card company and settle my debt.  I paid through bank transfer. After payment, they asked for my credit card details and then stopped responding. I contacted my credit card company, and they had no record of any settlement negotiation.  I lost 900 rupees and my credit card debt is still there.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy gold jewelry for my sister's wedding. I found a website offering 'gold loans'. I applied for 10,000 rupees. They called and said my loan was approved, but I needed to pay a 'gold valuation fee' of 400 rupees. They said it was to assess the value of the gold jewelry they would provide as part of the loan. I paid through UPI. After payment, they asked for my sister's wedding date and then stopped responding.  I realized there was no gold jewelry, just a loan scam. I lost 400 rupees and my sister's wedding preparations are hampered.",online_loan_fraud,Financial Crimes
"I was searching for 'agriculture loans' for my farm. I found a website offering 'farmer loans'. I applied for 40,000 rupees. They called and said my loan was approved, but I needed to pay a 'farm inspection fee' of 1200 rupees. They said it was to inspect my farm and assess my eligibility for the loan. I paid through online wallet. After payment, they scheduled a 'farm visit' but no one ever came. They stopped answering my calls. I lost 1200 rupees and my farming activities are affected.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my house rent. I found a website offering 'rental assistance loans'. I applied for 8,000 rupees. They called and said my loan was approved, but I needed to pay a 'rental agreement fee' of 300 rupees. They said it was to prepare the rental agreement for my house. I paid through UPI. After payment, they asked for my landlord's details and then stopped responding. I realized there was no rental agreement, just a loan scam. I lost 300 rupees and I am still worried about my rent.",online_loan_fraud,Financial Crimes
"I received a call from someone claiming to be from a 'loan recovery agency'. They said I had an outstanding loan with their company and needed to pay a 'settlement fee' of 500 rupees to close the loan account and avoid legal action. I was confused as I didn't remember taking any loan from them.  But they sounded very official and threatening.  I paid through online transfer, fearing legal trouble. After payment, they asked for more money for 'legal charges'. I refused and checked my credit report. There was no loan outstanding with that company. I realized it was a fake loan recovery scam. I lost 500 rupees and my peace of mind.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy a new smartphone. I found a website offering 'mobile phone loans'. I applied for 6,000 rupees. They called and said my loan was approved, but I needed to pay a 'smartphone insurance fee' of 250 rupees. They said it was mandatory to insure the smartphone they would provide with the loan. I paid through UPI. After payment, they asked for my phone model preference and then stopped responding. I realized there was no smartphone, just a loan scam. I lost 250 rupees and I still need a new phone.",online_loan_fraud,Financial Crimes
"I was searching for 'wedding loans' for my daughter's wedding. I found a website offering 'marriage loans'. I applied for 50,000 rupees. They called and said my loan was approved, but I needed to pay a 'wedding planning fee' of 1500 rupees. They said it was for helping me plan the wedding and get the loan disbursed. I paid through online wallet. After payment, they asked for my wedding budget and then became unresponsive. I realized there was no wedding planning help, just a loan scam. I lost 1500 rupees and my daughter's wedding preparations are strained.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my water bill, which was overdue. I found a website offering 'utility bill loans'. I applied for 3,000 rupees. They called and said my loan was approved, but I needed to pay a 'utility processing fee' of 150 rupees. They said it was for processing my utility bill payment through their system. I paid through UPI. After payment, they asked for my water bill details and then stopped responding. I lost 150 rupees and my water supply might be cut off.",online_loan_fraud,Financial Crimes
"I was searching for 'education loans' for my online course. I found a website offering 'online learning loans'. I applied for 5,000 rupees. They called and said my loan was approved, but I needed to pay a 'course registration fee' of 200 rupees. They said it was to register me for the online course they were affiliated with. I paid through UPI. After payment, they asked for my course preference and then stopped responding. I realized there was no online course, just a loan scam. I lost 200 rupees and my online learning is still on hold.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy a bicycle for commuting. I found a website offering 'bicycle loans'. I applied for 4,000 rupees. They called and said my loan was approved, but I needed to pay a 'bicycle delivery fee' of 200 rupees. They said it was for delivering the bicycle they would provide as part of the loan. I paid through UPI. After payment, they asked for my address and then stopped responding. I realized there was no bicycle, just a loan scam. I lost 200 rupees and my commute is still difficult.",online_loan_fraud,Financial Crimes
"I was searching for 'home appliance loans' to buy a new refrigerator. I found a website offering 'appliance loans'. I applied for 12,000 rupees. They called and said my loan was approved, but I needed to pay a 'appliance warranty fee' of 450 rupees. They said it was mandatory to get a warranty for the refrigerator they would provide with the loan. I paid through online wallet. After payment, they asked for my appliance preference and then became unreachable. I realized there was no refrigerator, just a loan scam. I lost 450 rupees and my food is still spoiling.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay for my daughter's tuition fees. I found a website offering 'school fee loans'. I applied for 10,000 rupees. They called and said my loan was approved, but I needed to pay a 'school verification fee' of 400 rupees. They said it was to verify my daughter's school and ensure the loan was for education purposes. I paid through UPI. After payment, they asked for my daughter's school details and then stopped responding. I lost 400 rupees and my daughter's education is at risk.",online_loan_fraud,Financial Crimes
"I was searching for 'personal loans' on a local classifieds app. I saw an ad offering 'instant loans with no paperwork'. I contacted the advertiser through the app. They responded quickly and said they could offer me a loan of 8,000 rupees. They asked for a 'service charge' of 250 rupees upfront. They said it was for processing my loan application. I paid through UPI. After payment, they asked for more personal details and then became unresponsive. I lost 250 rupees and realized it was a scam from a classifieds app.",online_loan_fraud,Financial Crimes
"I received a WhatsApp forward about a 'government loan scheme' for small businesses. It looked somewhat legitimate with government logos and links. I clicked the link and applied for 30,000 rupees. They called and said my loan was approved under the scheme, but I needed to pay a 'government registration fee' of 900 rupees. They said it was mandatory and would be refunded by the government later. I paid through net banking, trusting the WhatsApp forward. After payment, they asked for more business details and then became unresponsive. I checked with government websites, and there was no such loan scheme mentioned in the WhatsApp forward. I lost 900 rupees and my business is still struggling.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy a sewing machine for my tailoring business. I found a website offering 'small business equipment loans'. I applied for 7,000 rupees. They called and said my loan was approved, but I needed to pay a 'equipment delivery fee' of 300 rupees. They said it was for delivering the sewing machine they would provide with the loan. I paid through UPI. After payment, they asked for my business address and then stopped responding. I realized there was no sewing machine, just a loan scam. I lost 300 rupees and my tailoring business is still lacking equipment.",online_loan_fraud,Financial Crimes
"I was searching for 'home repair loans' to fix my leaking roof. I found a website offering 'emergency home loans'. I applied for 15,000 rupees. They called and said my loan was approved, but I needed to pay a 'roof inspection fee' of 500 rupees. They said it was to inspect my roof and assess the repair cost. I paid through online wallet. After payment, they scheduled a 'roof inspection' but no one ever came. They stopped answering my calls. I lost 500 rupees and my roof is still leaking.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my internet bill, which was due. I found a website offering 'online bill payment loans'. I applied for 2,000 rupees. They called and said my loan was approved, but I needed to pay an 'internet processing fee' of 100 rupees. They said it was for processing my internet bill payment through their system. I paid through UPI. After payment, they asked for my internet bill details and then stopped responding. I lost 100 rupees and my internet might be disconnected.",online_loan_fraud,Financial Crimes
"I was searching for 'personal loans' on a social media group. I saw a post offering 'easy loans for everyone'. I contacted the poster through direct message. They responded quickly and said they could offer me a loan of 12,000 rupees. They asked for a 'registration charge' of 350 rupees upfront. They said it was for registering me with their loan platform. I paid through UPI. After payment, they asked for more personal information and then became unresponsive. I lost 350 rupees and realized it was a social media loan scam.",online_loan_fraud,Financial Crimes
"I received an email from a company claiming to be a 'government-approved loan agency'. It looked somewhat official with government seals and letterheads. They were offering 'unemployment relief loans'. I applied for 25,000 rupees. They called and said my loan was approved under the scheme, but I needed to pay a 'government verification fee' of 750 rupees. They said it was mandatory and would be refunded by the government later. I paid through net banking, trusting the official-looking email. After payment, they asked for more documents and then became unresponsive. I checked with government websites, and there was no such loan scheme mentioned in the email. I lost 750 rupees and my unemployment situation is still dire.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy a water pump for my farm. I found a website offering 'agricultural equipment loans'. I applied for 9,000 rupees. They called and said my loan was approved, but I needed to pay a 'pump delivery fee' of 350 rupees. They said it was for delivering the water pump they would provide with the loan. I paid through UPI. After payment, they asked for my farm address and then stopped responding. I realized there was no water pump, just a loan scam. I lost 350 rupees and my crops are still suffering from lack of water.",online_loan_fraud,Financial Crimes
"I was searching for 'home cleaning loans' to get my house cleaned before a festival. I found a website offering 'festival cleaning loans'. I applied for 5,000 rupees. They called and said my loan was approved, but I needed to pay a 'cleaning service fee' of 200 rupees. They said it was for arranging the cleaning service that would come with the loan. I paid through UPI. After payment, they asked for my house address and then stopped responding. I realized there was no cleaning service, just a loan scam. I lost 200 rupees and my house is still messy for the festival.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my cooking gas bill, which was due. I found a website offering 'utility assistance loans'. I applied for 1,500 rupees. They called and said my loan was approved, but I needed to pay a 'gas processing fee' of 75 rupees. They said it was for processing my cooking gas bill payment through their system. I paid through UPI. After payment, they asked for my gas bill details and then stopped responding. I lost 75 rupees, but it's the principle of being cheated that hurts.",online_loan_fraud,Financial Crimes
"I was searching for 'personal loans' on an online forum. I saw a thread offering 'quick loans for forum members'. I contacted the poster through private message. They responded quickly and said they could offer me a loan of 15,000 rupees. They asked for a 'forum membership fee' of 400 rupees upfront. They said it was for becoming a member of their loan forum and getting access to loans. I paid through UPI. After payment, they gave me access to a forum which was just full of fake loan offers. I lost 400 rupees and realized it was a forum membership scam disguised as a loan.",online_loan_fraud,Financial Crimes
"I received an SMS from a number claiming to be from a 'RBI-approved loan company'. It looked somewhat official, mentioning RBI regulations. They were offering 'low-interest personal loans'. I clicked the link in the SMS and applied for 35,000 rupees. They called and said my loan was approved, but I needed to pay a 'RBI compliance fee' of 1000 rupees. They said it was mandatory as per RBI guidelines. I paid through net banking, trusting the RBI mention. After payment, they asked for more documents and then became unresponsive. I checked the RBI website, and there was no such compliance fee for loans. I lost 1000 rupees and my trust in SMS offers.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy a fertilizer for my crops. I found a website offering 'agricultural input loans'. I applied for 11,000 rupees. They called and said my loan was approved, but I needed to pay a 'fertilizer delivery fee' of 400 rupees. They said it was for delivering the fertilizer they would provide with the loan. I paid through UPI. After payment, they asked for my farm location and then stopped responding. I realized there was no fertilizer, just a loan scam. I lost 400 rupees and my crops might fail due to lack of fertilizer.",online_loan_fraud,Financial Crimes
"I was searching for 'home painting loans' to get my house painted before the monsoon. I found a website offering 'seasonal home loans'. I applied for 20,000 rupees. They called and said my loan was approved, but I needed to pay a 'painting service fee' of 700 rupees. They said it was for arranging the painting service that would come with the loan. I paid through online wallet. After payment, they asked for my house address and then stopped responding. I realized there was no painting service, just a loan scam. I lost 700 rupees and my house will likely get damaged by the rain.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my cable TV bill, which was due. I found a website offering 'entertainment bill loans'. I applied for 1,000 rupees. They called and said my loan was approved, but I needed to pay a 'cable processing fee' of 50 rupees. They said it was for processing my cable TV bill payment through their system. I paid through UPI. After payment, they asked for my cable TV account details and then stopped responding. I lost 50 rupees, but now I'm wary of all online loan offers.",online_loan_fraud,Financial Crimes
"I was searching for 'personal loans' on a job search website. I saw an ad offering 'instant loans for job seekers'. I contacted the advertiser through the website. They responded quickly and said they could offer me a loan of 9,000 rupees. They asked for a 'job verification fee' of 300 rupees upfront. They said it was for verifying my job seeker status and processing the loan. I paid through UPI. After payment, they asked for my resume and then became unresponsive. I lost 300 rupees and realized it was a job-related loan scam.",online_loan_fraud,Financial Crimes
"I received a call from someone claiming to be from a 'loan sanctioning department'. They said I had a pending loan application with their company and it was approved, but I needed to pay a 'sanction letter fee' of 600 rupees to get the sanction letter and proceed with disbursement. I was confused as I didn't remember applying for a loan with them. But they sounded very official and persistent. I paid through online transfer, hoping to clear up any pending application. After payment, they asked for more money for 'disbursement charges'. I refused and checked my bank account and credit report. There was no loan application or approval. I realized it was a fake loan sanction scam. I lost 600 rupees and my trust in phone calls.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy seeds for my next crop cycle. I found a website offering 'seed loans for farmers'. I applied for 8,000 rupees. They called and said my loan was approved, but I needed to pay a 'seed delivery fee' of 300 rupees. They said it was for delivering the seeds they would provide with the loan. I paid through UPI. After payment, they asked for my farm details and then stopped responding. I realized there were no seeds, just a loan scam. I lost 300 rupees and my next crop cycle is uncertain.",online_loan_fraud,Financial Crimes
"I was searching for 'home decoration loans' to buy decorations for a festival. I found a website offering 'festival decoration loans'. I applied for 6,000 rupees. They called and said my loan was approved, but I needed to pay a 'decoration delivery fee' of 250 rupees. They said it was for delivering the decorations they would provide with the loan. I paid through UPI. After payment, they asked for my address and then stopped responding. I realized there were no decorations, just a loan scam. I lost 250 rupees and my house will be less festive this year.",online_loan_fraud,Financial Crimes
"I was looking for a loan to pay my mobile recharge bill, which was about to expire. I found a website offering 'mobile recharge loans'. I applied for 500 rupees. They called and said my loan was approved, but I needed to pay a 'recharge processing fee' of 25 rupees. They said it was for processing my mobile recharge payment through their system. I paid through UPI. After payment, they asked for my mobile number and then stopped responding. I lost 25 rupees, but it's the deception that bothers me.",online_loan_fraud,Financial Crimes
"I was searching for 'personal loans' on a local community forum online. I saw a post offering 'community loans for forum members'. I contacted the poster through private message. They responded quickly and said they could offer me a loan of 18,000 rupees. They asked for a 'community contribution fee' of 500 rupees upfront. They said it was for contributing to the community fund and getting access to loans. I paid through UPI. After payment, they gave me access to a private group which was inactive and offered no loans. I lost 500 rupees and realized it was a community forum scam disguised as a loan.",online_loan_fraud,Financial Crimes
"I received an SMS from a number claiming to be from a 'government financial aid program'. It looked somewhat official, mentioning government schemes and benefits. They were offering 'financial assistance loans'. I clicked the link in the SMS and applied for 40,000 rupees. They called and said my application was approved under the program, but I needed to pay a 'government aid processing fee' of 1200 rupees. They said it was mandatory and would be reimbursed by the government later. I paid through net banking, trusting the government program mention. After payment, they asked for more details and then became unresponsive. I checked with government websites, and there was no such financial aid program mentioned in the SMS. I lost 1200 rupees and my hopes for financial aid are dashed.",online_loan_fraud,Financial Crimes
"I was looking for a loan to buy livestock for my farm. I found a website offering 'livestock loans for farmers'. I applied for 14,000 rupees. They called and said my loan was approved, but I needed to pay a 'livestock insurance fee' of 450 rupees. They said it was mandatory to get insurance for the livestock they would provide with the loan. I paid through UPI. After payment, they asked for my farm type and then stopped responding. I realized there was no livestock, just a loan scam. I lost 450 rupees and my farm productivity is still low.",online_loan_fraud,Financial Crimes
